3DGS,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,
time,1126.837 ,1609.400 ,681.797 ,766.094 ,1110.321 ,1756.608 ,1055.005 ,775.790 ,1264.974 ,1121.545 ,
SSIM,0.815 ,0.765 ,0.942 ,0.909 ,0.604 ,0.867 ,0.927 ,0.919 ,0.772 ,0.634 ,
PSNR,27.456 ,25.183 ,32.222 ,29.017 ,21.503 ,27.417 ,31.234 ,31.481 ,26.579 ,22.470 ,
LPIPS,0.216 ,0.210 ,0.203 ,0.200 ,0.337 ,0.107 ,0.126 ,0.219 ,0.216 ,0.325 ,
final number of Gaussians,3328736.444 ,6047359.000 ,1257215.000 ,1202081.000 ,3646630.000 ,5890952.000 ,1797096.000 ,1532966.000 ,4731948.000 ,3852381.000 ,
,,,,,,,,,,,
3DGS,average,drjohnson,playroom,,,,,,,,
time,910.005 ,1029.221 ,790.790 ,,,,,,,,
SSIM,0.904 ,0.901 ,0.907 ,,,,,,,,
PSNR,29.501 ,29.067 ,29.935 ,,,,,,,,
LPIPS,0.244 ,0.244 ,0.244 ,,,,,,,,
final number of Gaussians,2810987.500 ,3298039.000 ,2323936.000 ,,,,,,,,
,,,,,,,,,,,
3DGS,average,train,truck,,,,,,,,
time,702.058 ,543.520 ,860.596 ,,,,,,,,
SSIM,0.848 ,0.815 ,0.881 ,,,,,,,,
PSNR,23.613 ,21.882 ,25.343 ,,,,,,,,
LPIPS,0.177 ,0.207 ,0.147 ,,,,,,,,
final number of Gaussians,1826379.500 ,1079961.000 ,2572798.000 ,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
taming,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,
time,913.8862013,1296.11703,578.457314,649.5972383,918.2312152,1325.499924,810.0804243,596.7120168,1074.559749,975.7209001,
SSIM,0.819460744,0.7734157,0.9424913,0.9097226,0.6117882,0.8720687,0.9296063,0.9200021,0.7732372,0.6428146,
PSNR,27.84652712,25.4586258,32.6665993,29.3530045,21.8203144,27.7855988,31.8059216,32.0928116,26.6975403,22.9383278,
LPIPS,0.214010967,0.2031298,0.2051377,0.201294,0.3368199,0.1019896,0.1244008,0.221871,0.2108728,0.3205831,
final number of Gaussians,2333843,4037480,804924,769980,2751311,3985536,1128870,804433,3772449,2949604,
,,,,,,,,,,,
taming,average,drjohnson,playroom,,,,,,,,
time,639.0626551,699.6775856,578.4477246,,,,,,,,
SSIM,0.90754955,0.9055306,0.9095685,,,,,,,,
PSNR,29.86645125,29.4868698,30.2460327,,,,,,,,
LPIPS,0.24214565,0.2412101,0.2430812,,,,,,,,
final number of Gaussians,1568974.5,1794567,1343382,,,,,,,,
,,,,,,,,,,,
taming,average,train,truck,,,,,,,,
time,465.6759038,353.3099492,578.0418584,,,,,,,,
SSIM,0.8531149,0.8171567,0.8890731,,,,,,,,
PSNR,24.25150485,22.5520267,25.950983,,,,,,,,
LPIPS,0.18125875,0.2198078,0.1427097,,,,,,,,
final number of Gaussians,1018511.5,549791,1487232,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
speedy,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,
time,790.852035,920.3942962,704.31457,759.7211168,726.6396546,934.3419182,852.5515327,749.6910355,785.9092927,684.1048987,
SSIM,0.786284011,0.7234545,0.9203461,0.8692862,0.5811445,0.8336511,0.8901806,0.8951989,0.7703192,0.592975,
PSNR,26.93088001,24.8633137,31.1282539,28.1891479,21.4724216,26.9158535,30.0740452,30.6040726,26.6536598,22.4771519,
LPIPS,0.287282956,0.3033963,0.2495292,0.2732027,0.3932592,0.183183,0.2020102,0.2789924,0.2586824,0.4432912,
final number of Gaussians,316920.7778,619642,131364,98702,364003,534267,115219,116677,501926,370487,
peak number of Gaussians,1885652.111,3686812,781605,587270,2165786,3178844,685547,694220,2986417,2204368,
,,,,,,,,,,,
speedy,average,drjohnson,playroom,,,,,,,,
time,728.8956902,805.8271854,651.964195,,,,,,,,
SSIM,0.903438,0.8999466,0.9069294,,,,,,,,
PSNR,29.6424618,29.1125355,30.1723881,,,,,,,,
LPIPS,0.26788825,0.2660182,0.2697583,,,,,,,,
final number of Gaussians,250210,313776,186644,,,,,,,,
peak number of Gaussians,1488729,1866942,1110516,,,,,,,,
,,,,,,,,,,,
speedy,average,train,truck,,,,,,,,
time,463.1294241,389.0775683,537.1812799,,,,,,,,
SSIM,0.81990225,0.772104,0.8677005,,,,,,,,
PSNR,23.40950485,21.6306953,25.1883144,,,,,,,,
LPIPS,0.2397963,0.2897933,0.1897993,,,,,,,,
final number of Gaussians,181358.5,107504,255213,,,,,,,,
peak number of Gaussians,1079068,639639,1518497,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DashGS,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,
time,571.6512554,803.3784096,355.2189472,388.3595943,586.3451321,822.2957914,591.8938839,411.7424009,571.8584523,613.7686872,
