base,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,,base-cu-opt,average,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill
time,245.7191572,212.4661324,245.305002,246.5358422,244.1754334,267.5249226,325.7236226,210.8025801,224.5140114,234.4248681,,time,226.7225636,198.6017435,230.9256308,227.5441866,225.6705275,243.2741032,288.2305677,200.9989796,209.1535676,216.1037657
SSIM,0.813283689,0.75094,0.9434859,0.9070011,0.6002864,0.8559961,0.9269442,0.917029,0.7811081,0.6367624,,SSIM,0.813497022,0.751097,0.9430245,0.9070016,0.6008179,0.8556481,0.9279406,0.9171547,0.7823837,0.6364051
PSNR,27.72200203,25.1253319,32.5070686,29.3706417,21.5745068,27.4230652,31.7824078,31.8207569,26.8944187,22.9998207,,PSNR,27.73953882,25.163435,32.3935051,29.3625126,21.5779991,27.4432049,31.8827152,31.847599,26.9874878,22.9973907
LPIPS,0.232222356,0.2552213,0.1979816,0.2048921,0.3482381,0.1402808,0.1286024,0.2276653,0.230343,0.3567766,,LPIPS,0.232265244,0.2555668,0.198203,0.2048388,0.3478968,0.1404561,0.1274084,0.2276316,0.229495,0.3588907
final number of Gaussians,773776,942057,504779,365445,1038501,1045824,606463,400415,998986,1061514,,final number of Gaussians,773399,940857,500517,365678,1043574,1044935,606248,399809,997293,1061680
peak number of Gaussians,773776,942057,504779,365445,1038501,1045824,606463,400415,998986,1061514,,peak number of Gaussians,773399,940857,500517,365678,1043574,1044935,606248,399809,997293,1061680
,,,,,,,,,,,,,,,,,,,,,,
base,average,drjohnson,playroom,,,,,,,,,base-cu-opt,average,drjohnson,playroom,,,,,,,
time,201.8031012,239.2499976,164.3562047,,,,,,,,,time,186.3384058,218.8375847,153.839227,,,,,,,
SSIM,0.9088222,0.9075381,0.9101063,,,,,,,,,SSIM,0.90958715,0.9078577,0.9113166,,,,,,,
PSNR,30.09377955,29.7564125,30.4311466,,,,,,,,,PSNR,30.0908432,29.7710571,30.4106293,,,,,,,
LPIPS,0.24930255,0.2449256,0.2536795,,,,,,,,,LPIPS,0.25028975,0.2459198,0.2546597,,,,,,,
final number of Gaussians,731485,1056427,406543,,,,,,,,,final number of Gaussians,731278.5,1057288,405269,,,,,,,
peak number of Gaussians,731485,1056427,406543,,,,,,,,,peak number of Gaussians,731278.5,1057288,405269,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
base,average,train,truck,,,,,,,,,base-cu-opt,average,train,truck,,,,,,,
time,175.8140491,177.9733467,173.6547515,,,,,,,,,time,155.4342997,157.3822517,153.4863477,,,,,,,
SSIM,0.85387525,0.8225525,0.885198,,,,,,,,,SSIM,0.853543,0.8218424,0.8852436,,,,,,,
PSNR,24.15697195,22.6124802,25.7014637,,,,,,,,,PSNR,24.1497822,22.580513,25.7190514,,,,,,,
LPIPS,0.18409995,0.2143391,0.1538608,,,,,,,,,LPIPS,0.1845706,0.2149039,0.1542373,,,,,,,
final number of Gaussians,491895,477260,506530,,,,,,,,,final number of Gaussians,490593,474837,506349,,,,,,,
peak number of Gaussians,491895,477260,506530,,,,,,,,,peak number of Gaussians,490593,474837,506349,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
